Scaffold	Start	Stop	ContigName
Chr5	17449825	17453326	17449825_17453326
Chr6	1	14196	1_14196
Chr6	14297	33338	14297_33338
Chr6	33439	182152	33439_182152
Chr6	182253	199863	182253_199863
Chr6	199964	2771593	199964_2771593
Chr6	2771694	2784272	2771694_2784272
Chr6	2784373	3582140	2784373_3582140
Chr6	3582241	7111395	3582241_7111395
Chr6	7111496	7144980	7111496_7144980
Chr6	7145081	7157625	7145081_7157625
Chr6	7157726	8356378	7157726_8356378
Chr6	8356479	9477672	8356479_9477672
Chr6	9477773	14632663	9477773_14632663
Chr6	14632764	16888278	14632764_16888278
Chr7	1	12773	1_12773
Chr7	12874	9412984	12874_9412984
Chr7	9413085	10297611	9413085_10297611
Chr7	10297712	10311990	10297712_10311990
Chr7	10312091	10323890	10312091_10323890
Chr7	10323991	14121691	10323991_14121691
Chr7	14121792	14219595	14121792_14219595
Chr7	14219696	16586616	14219696_16586616
Chr7	16586717	16599821	16586717_16599821
Chr8	1	33645	1_33645
Chr8	33746	344894	33746_344894
Chr8	344995	358673	344995_358673
Chr8	358774	382527	358774_382527
Chr8	382628	448423	382628_448423
Chr8	448524	462435	448524_462435
Chr8	462536	676170	462536_676170
Chr8	676271	701767	676271_701767
Chr8	701868	1109811	701868_1109811
Chr8	1109912	1556732	1109912_1556732
Chr8	1556833	2171088	1556833_2171088
Chr8	2171189	2217287	2171189_2217287
Chr8	2217388	2242707	2217388_2242707
Chr8	2242808	2255509	2242808_2255509
Chr8	2255610	3206035	2255610_3206035
Chr8	3206136	7340471	3206136_7340471
Chr8	7340572	7356167	7340572_7356167
Chr8	7356268	7376370	7356268_7376370
Chr8	7376471	11076218	7376471_11076218
Chr8	11076319	11090395	11076319_11090395
Chr8	11090496	11105791	11090496_11105791
Chr8	11105892	11117116	11105892_11117116
Chr8	11117217	12093271	11117217_12093271
Chr8	12093372	12111567	12093372_12111567
Chr8	12111668	14185545	12111668_14185545
Chr8	14185646	14220490	14185646_14220490
Chr8	14220591	15889726	14220591_15889726
Chr8	15889827	15891175	15889827_15891175
Chr9	1	20991	1_20991
Chr9	21092	3235092	21092_3235092
Chr9	3235193	3299053	3235193_3299053
Chr9	3299154	3900959	3299154_3900959
Chr9	3901060	3926523	3901060_3926523
Chr9	3926624	3941951	3926624_3941951
Chr9	3942052	3958544	3942052_3958544
Chr9	3958645	4289243	3958645_4289243
Chr9	4289344	4307831	4289344_4307831
Chr9	4307932	5273066	4307932_5273066
Chr9	5273167	5398293	5273167_5398293
Chr9	5398394	5417773	5398394_5417773
Chr9	5417874	5443233	5417874_5443233
Chr9	5443334	5624113	5443334_5624113
Chr9	5624214	5639433	5624214_5639433
Chr9	5639534	5704186	5639534_5704186
Chr9	5704287	7883773	5704287_7883773
Chr9	7883874	7912211	7883874_7912211
Chr9	7912312	7920517	7912312_7920517
Chr9	7920618	7934176	7920618_7934176
Chr9	7934277	9128078	7934277_9128078
Chr9	9128179	9142312	9128179_9142312
Chr9	9142413	9157395	9142413_9157395
Chr9	9157496	11503611	9157496_11503611
Chr9	11503712	11526295	11503712_11526295
Chr9	11526396	11915140	11526396_11915140
Chr9	11915241	11932648	11915241_11932648
Chr9	11932749	11946810	11932749_11946810
Chr9	11946911	15176956	11946911_15176956
Chr9	15177057	15388022	15177057_15388022
Chr9	15388123	15473139	15388123_15473139
Chr9	15473240	15654997	15473240_15654997
Chr9	15655098	15673213	15655098_15673213
Chr10	1	12393	1_12393
Chr10	12494	27438	12494_27438
Chr10	27539	41137	27539_41137
Chr10	41238	5262868	41238_5262868
Chr10	5262969	5856063	5262969_5856063
Chr10	5856164	5868163	5856164_5868163
Chr10	5868264	5979649	5868264_5979649
Chr10	5979750	6018229	5979750_6018229
Chr10	6018330	6141247	6018330_6141247
Chr10	6141348	6156127	6141348_6156127
Chr10	6156228	6178024	6156228_6178024
Chr10	6178125	6632146	6178125_6632146
Chr10	6632247	7002338	6632247_7002338
Chr10	7002439	7025023	7002439_7025023
Chr10	7025124	7122841	7025124_7122841
Chr10	7122942	7281624	7122942_7281624
Chr10	7281725	7297533	7281725_7297533
Chr10	7297634	7615424	7297634_7615424
Chr10	7615525	9378806	7615525_9378806
Chr10	9378907	9391700	9378907_9391700
Chr10	9391801	9404537	9391801_9404537
Chr10	9404638	9451869	9404638_9451869
Chr10	9451970	9507609	9451970_9507609
Chr10	9507710	9641717	9507710_9641717
Chr10	9641818	9731577	9641818_9731577
Chr10	9731678	9796860	9731678_9796860
Chr10	9796961	9812540	9796961_9812540
Chr10	9812641	13130773	9812641_13130773
Chr10	13130874	13580555	13130874_13580555
Chr10	13580656	13597989	13580656_13597989
Chr10	13598090	13770424	13598090_13770424
Chr10	13770525	13817670	13770525_13817670
Chr10	13817771	13830467	13817771_13830467
Chr10	13830568	13842897	13830568_13842897
Chr11	1	13237	1_13237
Chr11	13338	7471349	13338_7471349
Chr11	7471450	7485874	7471450_7485874
Chr11	7485975	7502228	7485975_7502228
Chr11	7502329	7551333	7502329_7551333
Chr11	7551434	7611529	7551434_7611529
Chr11	7611630	7619953	7611630_7619953
Chr11	7620054	7638038	7620054_7638038
Chr11	7638139	7888181	7638139_7888181
Chr11	7888282	9227569	7888282_9227569
Chr11	9227670	9244873	9227670_9244873
Chr11	9244974	12036648	9244974_12036648
Chr11	12036749	12051271	12036749_12051271
Chr11	12051372	13721257	12051372_13721257
Chr12	1	512153	1_512153
Chr12	512254	3139810	512254_3139810
Chr12	3139911	3157731	3139911_3157731
Chr12	3157832	3168829	3157832_3168829
Chr12	3168930	3390374	3168930_3390374
Chr12	3390475	6443000	3390475_6443000
Chr12	6443101	10255896	6443101_10255896
Chr12	10255997	11074533	10255997_11074533
Chr12	11074634	11091661	11074634_11091661
Chr12	11091762	11105667	11091762_11105667
Chr12	11105768	11130062	11105768_11130062
Chr12	11130163	11181251	11130163_11181251
Chr12	11181352	11196630	11181352_11196630
Chr12	11196731	11464757	11196731_11464757
Chr12	11464858	11491042	11464858_11491042
Chr12	11491143	11507691	11491143_11507691
Chr12	11507792	11527530	11507792_11527530
Chr12	11527631	11941710	11527631_11941710
Chr12	11941811	11954706	11941811_11954706
Chr12	11954807	11984478	11954807_11984478
Chr12	11984579	11998815	11984579_11998815
Chr12	11998916	12588316	11998916_12588316
Chr12	12588417	13479761	12588417_13479761
Chr12	13479862	13544823	13479862_13544823
Chr12	13544924	13563210	13544924_13563210
Chr12	13563311	13585153	13563311_13585153
Chr12	13585254	13615461	13585254_13615461
Chr12	13615562	13630268	13615562_13630268
Chr12	13630369	13632444	13630369_13632444
Chr13	1	10457	1_10457
Chr13	10558	25631	10558_25631
Chr13	25732	45544	25732_45544
Chr13	45645	116812	45645_116812
Chr13	116913	188848	116913_188848
Chr13	188949	291992	188949_291992
Chr13	292093	391876	292093_391876
Chr13	391977	560800	391977_560800
Chr13	560901	574676	560901_574676
Chr13	574777	808624	574777_808624
Chr13	808725	837932	808725_837932
Chr13	838033	906019	838033_906019
Chr13	906120	942282	906120_942282
Chr13	942383	958871	942383_958871
Chr13	958972	990415	958972_990415
Chr13	990516	1002506	990516_1002506
Chr13	1002607	1082932	1002607_1082932
Chr13	1083033	1102009	1083033_1102009
Chr13	1102110	1197777	1102110_1197777
Chr13	1197878	1249645	1197878_1249645
Chr13	1249746	1292369	1249746_1292369
Chr13	1292470	1316610	1292470_1316610
Chr13	1316711	1595709	1316711_1595709
Chr13	1595810	1707098	1595810_1707098
Chr13	1707199	1774200	1707199_1774200
Chr13	1774301	2272039	1774301_2272039
Chr13	2272140	2314773	2272140_2314773
Chr13	2314874	2408294	2314874_2408294
Chr13	2408395	2421627	2408395_2421627
Chr13	2421728	2490527	2421728_2490527
Chr13	2490628	2608475	2490628_2608475
Chr13	2608576	2722432	2608576_2722432
Chr13	2722533	2825397	2722533_2825397
Chr13	2825498	2839522	2825498_2839522
Chr13	2839623	2854546	2839623_2854546
Chr13	2854647	2871847	2854647_2871847
Chr13	2871948	2916844	2871948_2916844
Chr13	2916945	2935122	2916945_2935122
Chr13	2935223	2957010	2935223_2957010
Chr13	2957111	2977942	2957111_2977942
Chr13	2978043	2987078	2978043_2987078
Chr13	2987179	3004637	2987179_3004637
Chr13	3004738	3113613	3004738_3113613
Chr13	3113714	3176290	3113714_3176290
Chr13	3176391	3190921	3176391_3190921
Chr13	3191022	3240535	3191022_3240535
Chr13	3240636	3293241	3240636_3293241
Chr13	3293342	3310221	3293342_3310221
Chr13	3310322	3321973	3310322_3321973
Chr13	3322074	3390358	3322074_3390358
Chr13	3390459	3482586	3390459_3482586
Chr13	3482687	3508191	3482687_3508191
Chr13	3508292	3534024	3508292_3534024
Chr13	3534125	3671474	3534125_3671474
Chr13	3671575	3683629	3671575_3683629
Chr13	3683730	3722745	3683730_3722745
Chr13	3722846	3734745	3722846_3734745
Chr13	3734846	3754580	3734846_3754580
Chr13	3754681	4454594	3754681_4454594
Chr13	4454695	4471275	4454695_4471275
Chr13	4471376	4516929	4471376_4516929
Chr13	4517030	4544543	4517030_4544543
Chr13	4544644	4829736	4544644_4829736
Chr13	4829837	4845330	4829837_4845330
Chr13	4845431	4970780	4845431_4970780
Chr13	4970881	5049293	4970881_5049293
Chr13	5049394	5076750	5049394_5076750
Chr13	5076851	5127559	5076851_5127559
Chr13	5127660	5138729	5127660_5138729
Chr13	5138830	5155107	5138830_5155107
Chr13	5155208	5252693	5155208_5252693
Chr13	5252794	5268037	5252794_5268037
Chr13	5268138	5362911	5268138_5362911
Chr13	5363012	5382459	5363012_5382459
Chr13	5382560	5548040	5382560_5548040
Chr13	5548141	5559535	5548141_5559535
Chr13	5559636	5874721	5559636_5874721
Chr13	5874822	5890156	5874822_5890156
Chr13	5890257	5940609	5890257_5940609
Chr13	5940710	6100868	5940710_6100868
Chr13	6100969	6140927	6100969_6140927
Chr13	6141028	6196394	6141028_6196394
Chr13	6196495	6326948	6196495_6326948
Chr13	6327049	6343490	6327049_6343490
Chr13	6343591	6369221	6343591_6369221
Chr13	6369322	6379930	6369322_6379930
Chr13	6380031	6391226	6380031_6391226
Chr13	6391327	6508141	6391327_6508141
Chr13	6508242	6810847	6508242_6810847
Chr13	6810948	6826786	6810948_6826786
Chr13	6826887	6857450	6826887_6857450
Chr13	6857551	6887848	6857551_6887848
Chr13	6887949	6950216	6887949_6950216
Chr13	6950317	6973509	6950317_6973509
Chr13	6973610	7037781	6973610_7037781
Chr13	7037882	7141355	7037882_7141355
Chr13	7141456	7248494	7141456_7248494
Chr13	7248595	7263038	7248595_7263038
Chr13	7263139	7313524	7263139_7313524
Chr13	7313625	7410663	7313625_7410663
Chr13	7410764	7447582	7410764_7447582
Chr13	7447683	7486020	7447683_7486020
Chr13	7486121	7523412	7486121_7523412
Chr13	7523513	7604079	7523513_7604079
Chr13	7604180	7664216	7604180_7664216
Chr13	7664317	7783076	7664317_7783076
Chr13	7783177	7794518	7783177_7794518
Chr13	7794619	7868193	7794619_7868193
Chr13	7868294	7998045	7868294_7998045
Chr13	7998146	8045650	7998146_8045650
Chr13	8045751	8235374	8045751_8235374
Chr13	8235475	8251569	8235475_8251569
Chr13	8251670	8268754	8251670_8268754
Chr13	8268855	9127589	8268855_9127589
Chr13	9127690	9143379	9127690_9143379
Chr13	9143480	9457419	9143480_9457419
Chr13	9457520	9470121	9457520_9470121
Chr14	1	15623	1_15623
Chr14	15724	39530	15724_39530
Chr14	39631	56139	39631_56139
Chr14	56240	68599	56240_68599
Chr14	68700	127400	68700_127400
Chr14	127501	403970	127501_403970
Chr14	404071	422555	404071_422555
Chr14	422656	441245	422656_441245
Chr14	441346	770995	441346_770995
Chr14	771096	885370	771096_885370
Chr14	885471	965698	885471_965698
Chr14	965799	992118	965799_992118
Chr14	992219	1009815	992219_1009815
Chr14	1009916	1108924	1009916_1108924
Chr14	1109025	1141332	1109025_1141332
Chr14	1141433	1150583	1141433_1150583
Chr14	1150684	1182146	1150684_1182146
Chr14	1182247	1224512	1182247_1224512
Chr14	1224613	1313013	1224613_1313013
Chr14	1313114	1523444	1313114_1523444
Chr14	1523545	5569124	1523545_5569124
Chr14	5569225	5591971	5569225_5591971
Chr14	5592072	5724630	5592072_5724630
Chr14	5724731	7814104	5724731_7814104
Chr14	7814205	7830254	7814205_7830254
Chr14	7830355	7852766	7830355_7852766
Chr14	7852867	7875210	7852867_7875210
Chr14	7875311	7891243	7875311_7891243
Chr14	7891344	8025791	7891344_8025791
Chr14	8025892	8047993	8025892_8047993
Chr14	8048094	8075190	8048094_8075190
Chr14	8075291	8278140	8075291_8278140
Chr14	8278241	8295764	8278241_8295764
Chr14	8295865	8361473	8295865_8361473
Chr14	8361574	8383586	8361574_8383586
Chr14	8383687	8423292	8383687_8423292
Chr14	8423393	8504866	8423393_8504866
Chr14	8504967	8524975	8504967_8524975
Chr14	8525076	8592085	8525076_8592085
Chr14	8592186	8609588	8592186_8609588
Chr14	8609689	8729677	8609689_8729677
Chr14	8729778	8740971	8729778_8740971
